"Ativo","Data","AtvCir| Em moeda orig| em milhares| consolid:sim*","PasCir| Em moeda orig| em milhares| consolid:sim*"
"AESB3<XBSP>","2018",1596022,1441075
"AESB3<XBSP>","2019",1805159,1903924
"AESB3<XBSP>","2020",2425331,2586678
"AESO3<XBSP>","2018","-","-"
"AESO3<XBSP>","2019","-","-"
"AESO3<XBSP>","2020","-","-"
"AFLT3<XBSP>","2018",52351,2656
"AFLT3<XBSP>","2019",75356,4166
"AFLT3<XBSP>","2020",55097,6964
"ALUP11<XBSP>","2018",4986366,1528902
"ALUP11<XBSP>","2019",5441876,2085695
"ALUP11<XBSP>","2020",4084394,2290153
"CBEE3<XBSP>","2018",2096037,3244933
"CBEE3<XBSP>","2019",2610950,3609669
"CBEE3<XBSP>","2020",3246412,2996435
"AURE3<XBSP>","2018","-","-"
"AURE3<XBSP>","2019","-","-"
"AURE3<XBSP>","2020","-","-"
"CEBR6<XBSP>","2018",1842353,1928843
"CEBR6<XBSP>","2019",1740536,1568080
"CEBR6<XBSP>","2020",3318072,2844635
"CEED3<XBSP>","2018",1336741,3208767
"CEED3<XBSP>","2019",1286169,4446964
"CEED3<XBSP>","2020",1092139,2161791
"EEEL4<XBSP>","2018",1397309,671884
"EEEL4<XBSP>","2019",1118467,549414
"EEEL4<XBSP>","2020",1732318,543225
"CLSC4<XBSP>","2018",4353420,4438978
"CLSC4<XBSP>","2019",2358072,2427690
"CLSC4<XBSP>","2020",3955299,3522162
"GPAR3<XBSP>","2018",344448,50477
"GPAR3<XBSP>","2019",426373,50071
"GPAR3<XBSP>","2020",400840,94869
"CEPE5<XBSP>","2018",2308999,1704952
"CEPE5<XBSP>","2019",2003995,2002034
"CEPE5<XBSP>","2020",2879000,2768000
"CMIG4<XBSP>","2018",27796074,23393584
"CMIG4<XBSP>","2019",10137408,7912451
"CMIG4<XBSP>","2020",15456200,9690215
"CESP6<XBSP>","2018","-","-"
"CESP6<XBSP>","2019","-","-"
"CESP6<XBSP>","2020",1118857,1050593
"CEEB3<XBSP>","2018",3352774,2715489
"CEEB3<XBSP>","2019",4505951,3821902
"CEEB3<XBSP>","2020",4144000,3475000
"COCE5<XBSP>","2018",1881356,2058430
